system,scenario,valuesize,type,ops,p99latency(ms)
Badger,ycsba,64b,read,50470.8,0.829
Badger,ycsba,64b,write,49817.2,1.096
Badger,ycsba,256b,read,46414.4,3.267
Badger,ycsba,256b,write,45816.7,4.547
Badger,ycsba,512b,read,41110.1,4.715
Badger,ycsba,512b,write,40666.9,6.067
Badger,ycsba,1024b,read,34985.3,13.415
Badger,ycsba,1024b,write,34520.9,16.447
Badger,ycsba,4096b,read,15573.7,46.463
Badger,ycsba,4096b,write,15409.3,175.359
Badger,ycsbb,64b,read,224602.5,1.194
Badger,ycsbb,64b,write,11812,1.812
Badger,ycsbb,256b,read,230540.1,1.942
Badger,ycsbb,256b,write,12131.4,1.309
Badger,ycsbb,512b,read,215929.2,2.629
Badger,ycsbb,512b,write,11413.2,5.027
Badger,ycsbb,1024b,read,198948.2,3.613
Badger,ycsbb,1024b,write,10458.2,5.791
Badger,ycsbb,4096b,read,117982.2,28.031
Badger,ycsbb,4096b,write,6186,38.111
Badger,ycsbe,64b,insert,11489.3,1.204
Badger,ycsbe,64b,scan,218918.4,1.261
Badger,ycsbe,256b,insert,10117.3,1.933
Badger,ycsbe,256b,scan,190607.7,3.043
Badger,ycsbe,512b,insert,8859.1,4.603
Badger,ycsbe,512b,scan,169860.7,4.195
Badger,ycsbe,1024b,insert,6847.9,5.039
Badger,ycsbe,1024b,scan,129279.7,4.423
Badger,ycsbe,4096b,insert,3316,8.407
Badger,ycsbe,4096b,scan,62848.5,11.967
Badger,ycsbf,64b,read,83747.4,1.011
Badger,ycsbf,64b,read-modify-write,41917.7,2.455
Badger,ycsbf,64b,write,41523,1.667
Badger,ycsbf,256b,read,76557.2,1.47
Badger,ycsbf,256b,read-modify-write,38295.7,14.007
Badger,ycsbf,256b,write,37950.3,4.459
Badger,ycsbf,512b,read,69812.6,4.655
Badger,ycsbf,512b,read-modify-write,34873.3,8.839
Badger,ycsbf,512b,write,34564.5,5.739
Badger,ycsbf,1024b,read,61314.9,7.987
Badger,ycsbf,1024b,read-modify-write,30675.6,27.823
Badger,ycsbf,1024b,write,30397.9,9.631
Badger,ycsbf,4096b,read,35064.2,31.999
Badger,ycsbf,4096b,read-modify-write,17542.9,51.711
Badger,ycsbf,4096b,write,17383.9,39.135
