system,scenario,valuesize,type,ops,p99latency(ms)
Badger,ycsba,64b,read,49949.1,0.989
Badger,ycsba,64b,write,49367.6,1.387
Badger,ycsba,256b,read,46820.7,1.304
Badger,ycsba,256b,write,46176.8,3.251
Badger,ycsba,512b,read,41326.4,4.831
Badger,ycsba,512b,write,40771.3,5.595
Badger,ycsba,1024b,read,35949.8,9.407
Badger,ycsba,1024b,write,35510,15.767
Badger,ycsba,4096b,read,19810.6,32.863
Badger,ycsba,4096b,write,19592.9,40.255
Badger,ycsbb,64b,read,223649,1.154
Badger,ycsbb,64b,write,11674.1,2.163
Badger,ycsbb,256b,read,230081.1,1.277
Badger,ycsbb,256b,write,12087.1,2.995
Badger,ycsbb,512b,read,212203.2,3.305
Badger,ycsbb,512b,write,11129.3,5.379
Badger,ycsbb,1024b,read,202552.2,4.767
Badger,ycsbb,1024b,write,10628.3,7.031
Badger,ycsbb,4096b,read,147705.2,7.835
Badger,ycsbb,4096b,write,7744.4,14.831
Badger,ycsbe,64b,insert,11555.2,1.179
Badger,ycsbe,64b,scan,220862.9,1.385
Badger,ycsbe,256b,insert,10452,2.451
Badger,ycsbe,256b,scan,199241.9,2.935
Badger,ycsbe,512b,insert,9169.2,4.819
Badger,ycsbe,512b,scan,174237.3,5.075
Badger,ycsbe,1024b,insert,7052.2,7.667
Badger,ycsbe,1024b,scan,134284.9,7.275
Badger,ycsbe,4096b,insert,3445.3,15.967
Badger,ycsbe,4096b,scan,65395.8,13.247
Badger,ycsbf,64b,read,73610.3,1.408
Badger,ycsbf,64b,read-modify-write,36815.8,2.959
Badger,ycsbf,64b,write,36477.4,1.934
Badger,ycsbf,256b,read,77758.3,2.657
Badger,ycsbf,256b,read-modify-write,38844.3,5.115
Badger,ycsbf,256b,write,38497.1,3.771
Badger,ycsbf,512b,read,70755.5,2.645
Badger,ycsbf,512b,read-modify-write,35335.1,5.915
Badger,ycsbf,512b,write,35023.8,3.785
Badger,ycsbf,1024b,read,61026.3,11.511
Badger,ycsbf,1024b,read-modify-write,30473.8,18.911
Badger,ycsbf,1024b,write,30199.2,13.767
Badger,ycsbf,4096b,read,34325.2,30.783
Badger,ycsbf,4096b,read-modify-write,17155.2,52.255
Badger,ycsbf,4096b,write,16997.9,33.663
